,route_id,average_speed,month_year
807,B44+,8.605958,05/2025
808,B44+,8.200452,05/2025
809,B44+,9.012081,05/2025
810,B44+,9.4635105,05/2025
811,B44+,8.287267,06/2025
812,B44+,8.66683,06/2025
813,B44+,8.416963,06/2025
814,B44+,9.179538,06/2025
815,B44+,9.619815,06/2025
816,B44+,8.994363,07/2025
817,B44+,8.720814,07/2025
818,B44+,9.648997,07/2025
819,B44+,9.876591,07/2025
820,B6,7.9266677,01/2025
821,B6,7.009247,01/2025
822,B6,8.130337,01/2025
823,B6,7.7624207,01/2025
824,B6,7.8476605,02/2025
825,B6,6.9163647,02/2025
826,B6,7.9488516,02/2025
827,B6,7.720932,02/2025
828,B6,7.763078,03/2025
829,B6,6.8951554,03/2025
830,B6,7.9947076,03/2025
831,B6,7.669702,03/2025
832,B6,7.8194857,04/2025
833,B6,7.0282874,04/2025
834,B6,8.058747,04/2025
835,B6,7.8917994,04/2025
836,B6,7.649233,05/2025
837,B6,6.8259506,05/2025
838,B6,7.856004,05/2025
839,B6,7.672132,05/2025
840,B6,7.8094497,06/2025
841,B6,7.0935717,06/2025
842,B6,7.8556166,06/2025
843,B6,7.6611915,06/2025
844,B6,8.114889,07/2025
845,B6,7.403917,07/2025
846,B6,8.165357,07/2025
847,B6,7.915551,07/2025
