month,borough,day_type,trip_type,route_id,period,total_mileage,total_operating_time,average_speed
2024-09-01,Brooklyn,2,LCL/LTD,B41,Peak,5442.026,772,7.044086
2024-10-01,Brooklyn,1,LCL/LTD,B41,Off-Peak,49343.133,7246,6.8094273
2024-10-01,Brooklyn,1,LCL/LTD,B41,Peak,22904.844,3630,6.3092303
2024-10-01,Brooklyn,2,LCL/LTD,B41,Off-Peak,13011.548,1824,7.133396
2024-10-01,Brooklyn,2,LCL/LTD,B41,Peak,4819.96,686,7.021765
2024-11-01,Brooklyn,1,LCL/LTD,B41,Off-Peak,39572,5854,6.759215
2024-11-01,Brooklyn,1,LCL/LTD,B41,Peak,18132.793,2889,6.2750573
2024-11-01,Brooklyn,2,LCL/LTD,B41,Off-Peak,17480.271,2373,7.3646946
2024-11-01,Brooklyn,2,LCL/LTD,B41,Peak,6452.852,908,7.106663
2024-12-01,Brooklyn,1,LCL/LTD,B41,Off-Peak,42448.67,6177,6.8710113
2024-12-01,Brooklyn,1,LCL/LTD,B41,Peak,19445.418,3043,6.390167
2024-12-01,Brooklyn,2,LCL/LTD,B41,Off-Peak,15555.382,2090,7.4412355
2024-12-01,Brooklyn,2,LCL/LTD,B41,Peak,5872.522,811,7.239647
2020-01-01,Brooklyn,1,LCL/LTD,B44+,Off-Peak,253.44899,28,8.878151
2020-01-01,Brooklyn,1,SBS,B44+,Off-Peak,27194.941,2898,9.382711
2020-01-01,Brooklyn,1,SBS,B44+,Peak,15294.099,1745,8.760413
2020-01-01,Brooklyn,2,SBS,B44+,Off-Peak,9583.919,947,10.110695
2020-01-01,Brooklyn,2,SBS,B44+,Peak,4403.271,434,10.135031
2020-02-01,Brooklyn,1,LCL/LTD,B44+,Off-Peak,193.104,22,8.57827
2020-02-01,Brooklyn,1,SBS,B44+,Off-Peak,24615.871,2652,9.278885
2020-02-01,Brooklyn,1,SBS,B44+,Peak,13457.398,1551,8.674499
2020-02-01,Brooklyn,2,SBS,B44+,Off-Peak,10072.116,1006,10.009949
2020-02-01,Brooklyn,2,SBS,B44+,Peak,4577.265,449,10.176888
2020-03-01,Brooklyn,1,LCL/LTD,B44+,Off-Peak,104.59799,12,8.557825
2020-03-01,Brooklyn,1,SBS,B44+,Off-Peak,26383.74,2720,9.697913
2020-03-01,Brooklyn,1,SBS,B44+,Peak,13804.221,1497,9.217384
2020-03-01,Brooklyn,2,SBS,B44+,Off-Peak,8622.107,814,10.586438
2020-03-01,Brooklyn,2,SBS,B44+,Peak,3997.211,371,10.765336
2020-04-01,Brooklyn,2,SBS,B44+,Off-Peak,23720.658,2167,10.944607
2020-04-01,Brooklyn,2,SBS,B44+,Peak,12236.854,1122,10.898055
2020-05-01,Brooklyn,1,SBS,B44+,Off-Peak,12702.75,1323,9.599526
2020-05-01,Brooklyn,1,SBS,B44+,Peak,6754.29,695,9.708392
2020-05-01,Brooklyn,2,SBS,B44+,Off-Peak,10696.919,1010,10.58899
2020-05-01,Brooklyn,2,SBS,B44+,Peak,5656.185,530,10.668189
2020-06-01,Brooklyn,1,SBS,B44+,Off-Peak,26377.334,2827,9.328515
2020-06-01,Brooklyn,1,SBS,B44+,Peak,12647.015,1373,9.207652
2020-06-01,Brooklyn,2,SBS,B44+,Off-Peak,7294.57,720,10.120891
2020-06-01,Brooklyn,2,SBS,B44+,Peak,3445.288,336,10.225573
2020-07-01,Brooklyn,1,SBS,B44+,Off-Peak,28967.938,3106,9.325504
2020-07-01,Brooklyn,1,SBS,B44+,Peak,14230.689,1563,9.100021
2020-07-01,Brooklyn,2,SBS,B44+,Off-Peak,8501.305,847,10.029073
2020-07-01,Brooklyn,2,SBS,B44+,Peak,4005.4421,388,10.31352
2020-08-01,Brooklyn,1,SBS,B44+,Off-Peak,27392.963,2999,9.131324
2020-08-01,Brooklyn,1,SBS,B44+,Peak,13623.885,1511,9.0124
2020-08-01,Brooklyn,2,SBS,B44+,Off-Peak,9501.945,958,9.909533
2020-08-01,Brooklyn,2,SBS,B44+,Peak,4463.189,437,10.198434
2020-09-01,Brooklyn,1,SBS,B44+,Off-Peak,25914.42,2921,8.869558
2020-09-01,Brooklyn,1,SBS,B44+,Peak,12686.635,1440,8.80914
2020-09-01,Brooklyn,2,SBS,B44+,Off-Peak,8240.166,849,9.70249
2020-09-01,Brooklyn,2,SBS,B44+,Peak,3953.358,404,9.78552
2020-10-01,Brooklyn,1,LCL/LTD,B44+,Off-Peak,217.24199,24,9.023551
2020-10-01,Brooklyn,1,SBS,B44+,Off-Peak,27287.988,3028,9.01068
2020-10-01,Brooklyn,1,SBS,B44+,Peak,15469.48,1788,8.647782
2020-10-01,Brooklyn,2,SBS,B44+,Off-Peak,8729.114,880,9.913095
2020-10-01,Brooklyn,2,SBS,B44+,Peak,3977.615,394,10.07062
2020-11-01,Brooklyn,1,LCL/LTD,B44+,Off-Peak,108.620995,11,9.141472
2020-11-01,Brooklyn,1,SBS,B44+,Off-Peak,25425.209,2803,9.068146
2020-11-01,Brooklyn,1,SBS,B44+,Peak,13543.885,1560,8.677951
2020-11-01,Brooklyn,2,SBS,B44+,Off-Peak,8820.38,904,9.752862
2020-11-01,Brooklyn,2,SBS,B44+,Peak,4052.449,413,9.811803
2020-12-01,Brooklyn,1,SBS,B44+,Off-Peak,25606.965,2873,8.910114
2020-12-01,Brooklyn,1,SBS,B44+,Peak,12627.618,1444,8.7399435
2020-12-01,Brooklyn,2,SBS,B44+,Off-Peak,8341.005,854,9.7622595
2020-12-01,Brooklyn,2,SBS,B44+,Peak,3935.433,394,9.966206
2021-01-01,Brooklyn,1,SBS,B44+,Off-Peak,24575.457,2645,9.289191
2021-01-01,Brooklyn,1,SBS,B44+,Peak,11906.853,1315,9.048504
2021-01-01,Brooklyn,2,SBS,B44+,Off-Peak,11170.438,1133,9.853839
2021-01-01,Brooklyn,2,SBS,B44+,Peak,5126.461,518,9.895407
2021-02-01,Brooklyn,1,LCL/LTD,B44+,Off-Peak,24.138,2,8.337824
2021-02-01,Brooklyn,1,SBS,B44+,Off-Peak,18201.812,2195,8.290748
2021-02-01,Brooklyn,1,SBS,B44+,Peak,9011.506,1119,8.052093
2021-02-01,Brooklyn,2,SBS,B44+,Off-Peak,7722.944,843,9.152112
2021-02-01,Brooklyn,2,SBS,B44+,Peak,3499.208,372,9.402493
2021-03-01,Brooklyn,1,LCL/LTD,B44+,Off-Peak,245.40298,27,8.990676
2021-03-01,Brooklyn,1,SBS,B44+,Off-Peak,27382.43,3067,8.92587
2021-03-01,Brooklyn,1,SBS,B44+,Peak,15252.264,1757,8.68039
2021-03-01,Brooklyn,2,SBS,B44+,Off-Peak,7400.32,772,9.574548
2021-03-01,Brooklyn,2,SBS,B44+,Peak,3296.777,339,9.718715
2021-04-01,Brooklyn,1,LCL/LTD,B44+,Off-Peak,249.426,28,8.776596
2021-04-01,Brooklyn,1,SBS,B44+,Off-Peak,27744.328,3147,8.814534
2021-04-01,Brooklyn,1,SBS,B44+,Peak,15301.001,1782,8.582856
2021-04-01,Brooklyn,2,SBS,B44+,Off-Peak,7175.98,750,9.565041
